freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg,time/s,<Ewe>/V,<I>/mA,Cs/µF,Cp/µF,cycle number,|Ewe|/V,|I|/A,Ns,I Range,(Q-Qo)/mA.h
0.0,0.0,-0.0,0.0,0.0,1.2726000604743604,6.632408e-05,-0.028931232,0.0,0.0,1.0,0.0,0.0,0,10,-6.67795334506401e-06
0.0,0.0,-0.0,0.0,0.0,2.2726001079718117,6.608845e-05,-0.022150168,0.0,0.0,1.0,0.0,0.0,0,10,-1.1926398222505971e-05
0.0,0.0,-0.0,0.0,0.0,3.272600155469263,6.783912e-05,-0.024747662,0.0,0.0,1.0,0.0,0.0,0,10,-1.777540972898512e-05
0.0,0.0,-0.0,0.0,0.0,4.272600202966714,6.408713e-05,-0.02834507,0.0,0.0,1.0,0.0,0.0,0,10,-2.4461786481943616e-05
0.0,0.0,-0.0,0.0,0.0,5.272600250464166,6.437633e-05,-0.026505586,0.0,0.0,1.0,0.0,0.0,0,10,-3.0787799490860276e-05
0.0,0.0,-0.0,0.0,0.0,6.272600297961617,6.206383e-05,-0.028127579,0.0,0.0,1.0,0.0,0.0,0,10,-3.74997769497491e-05
0.0,0.0,-0.0,0.0,0.0,7.272600345459068,6.2276784e-05,-0.02569149,0.0,0.0,1.0,0.0,0.0,0,10,-4.359394523054673e-05
0.0,0.0,-0.0,0.0,0.0,8.27260039295652,6.450947e-05,-0.028172672,0.0,0.0,1.0,0.0,0.0,0,10,-5.026251228722918e-05
0.0,0.0,-0.0,0.0,0.0,9.27260044045397,6.293635e-05,-0.026495112,0.0,0.0,1.0,0.0,0.0,0,10,-5.6555631873968496e-05
0.0,0.0,-0.0,0.0,0.0,10.272600487951422,6.494193e-05,-0.028584957,0.0,0.0,1.0,0.0,0.0,0,10,-6.337780299603967e-05
0.0,0.0,-0.0,0.0,0.0,11.272600535448873,6.416143e-05,-0.027108662,0.0,0.0,1.0,0.0,0.0,0,10,-6.985021913784659e-05
0.0,0.0,-0.0,0.0,0.0,12.272600582946325,6.255377e-05,-0.028536174,0.0,0.0,1.0,0.0,0.0,0,10,-7.667248704823195e-05
0.0,0.0,-0.0,0.0,0.0,13.272600630443776,6.4780004e-05,-0.026113104,0.0,0.0,1.0,0.0,0.0,0,10,-8.28175243532098e-05
0.0,0.0,-0.0,0.0,0.0,14.272600677941227,6.555925e-05,-0.029325845,0.0,0.0,1.0,0.0,0.0,0,10,-8.981436051352507e-05
0.0,0.0,-0.0,0.0,0.0,15.272600725438679,6.608066e-05,-0.029032081,0.0,0.0,1.0,0.0,0.0,0,10,-9.673174257035984e-05
0.0,0.0,-0.0,0.0,0.0,16.273600772983627,6.5232765e-05,-0.03184134,0.0,0.0,1.0,0.0,0.0,0,10,-0.00010428291726401484
0.0,0.0,-0.0,0.0,0.0,17.27360082048108,6.3079824e-05,-0.027092678,0.0,0.0,1.0,0.0,0.0,0,10,-0.0001106667643307038
0.0,0.0,-0.0,0.0,0.0,18.27360086797853,6.556037e-05,-0.02629399,0.0,0.0,1.0,0.0,0.0,0,10,-0.00011691312925124152
0.0,0.0,-0.0,0.0,0.0,19.27360091547598,6.594029e-05,-0.029915564,0.0,0.0,1.0,0.0,0.0,0,10,-0.00012401093320965284
